It   | J_t              | Best J_t         | Has Empty
    1| 18010.61621447   | 18010.61621447   | True: [0, 2]
    2| 17999.53078577   | 17999.53078577   |      
    3| 18011.01057970   |                  |      
    4| 18014.06435153   |                  |      
    5| 18009.39059127   |                  |      
    6| 18020.42489198   |                  |      
    7| 18015.47359523   |                  | True: [7, 8]
    8| 18010.51406100   |                  |      
    9| 18019.71860280   |                  |      
   10| 18008.33209812   |                  | True: [0, 8]
   11| 18013.66335380   |                  |      
   12| 18020.05858330   |                  |      
   13| 18010.58779954   |                  |      
   14| 18018.48475319   |                  |      
   15| 18004.56125527   |                  | True: [5]
   16| 18017.10210345   |                  |      
   17| 18015.04113134   |                  |      
   18| 18004.02500340   |                  | True: [8]
   19| 18003.24837344   |                  |      
   20| 18008.52188037   |                  |      
   21| 18016.69057345   |                  | True: [5]
   22| 18020.24368176   |                  | True: [2]
   23| 18020.00797632   |                  | True: [7]
   24| 18004.43936966   |                  | True: [1]
   25| 18024.68857592   |                  |      
   26| 18006.16983766   |                  |      
   27| 18010.29040101   |                  |      
   28| 18011.27893766   |                  |      
   29| 18007.90911270   |                  |      
   30| 18017.33027399   |                  |      
   31| 18014.46288721   |                  |      
   32| 17999.21994916   | 17999.21994916   | True: [2]
   33| 18013.56180446   |                  | True: [3, 4]
   34| 18017.10040209   |                  | True: [1]
   35| 18009.45886627   |                  |      
   36| 18021.39088655   |                  | True: [1, 6]
   37| 17998.50206689   | 17998.50206689   | True: [1, 9]
   38| 18010.79750572   |                  |      
   39| 17999.37623535   |                  | True: [9]
   40| 18005.69029949   |                  |      
   41| 18009.78460607   |                  |      
   42| 18012.82919651   |                  | True: [3]
   43| 18012.50690138   |                  | True: [1]
   44| 18000.31117639   |                  |      
   45| 18009.17170773   |                  |      
   46| 18012.10158349   |                  |      
   47| 18006.49010943   |                  |      
   48| 18025.09010907   |                  |      
   49| 18019.23085504   |                  | True: [4]
   50| 18013.85756515   |                  |      
   51| 18018.43811920   |                  | True: [4, 6]
   52| 18008.36984916   |                  |      
   53| 18017.79377779   |                  |      
   54| 18013.72717198   |                  |      
   55| 18014.47546599   |                  | True: [4, 8]
   56| 18007.49056485   |                  | True: [8]
   57| 18012.80309883   |                  |      
   58| 18013.46480429   |                  |      
   59| 18014.46247081   |                  | True: [6]
   60| 18013.78492630   |                  | True: [0]
   61| 18005.98913222   |                  |      
   62| 18000.71176774   |                  | True: [2]
   63| 18020.60705016   |                  |      
   64| 18008.59193284   |                  | True: [0]
   65| 18007.04515777   |                  |      
   66| 18013.58369500   |                  |      
   67| 18004.73368444   |                  | True: [3]
   68| 18007.68728370   |                  |      
   69| 18001.42174089   |                  |      
   70| 18004.16206892   |                  | True: [1]
   71| 18005.47678602   |                  | True: [6]
   72| 18009.66857730   |                  |      
   73| 18005.19601327   |                  |      
   74| 18008.37208501   |                  |      
   75| 18005.97520928   |                  | True: [8]
   76| 18008.19141876   |                  |      
   77| 18007.48609907   |                  | True: [1]
   78| 18008.75995415   |                  | True: [3]
   79| 18013.06864129   |                  |      
   80| 18009.45473741   |                  | True: [2]
   81| 18006.95127004   |                  | True: [0, 1]
   82| 18019.21548395   |                  |      
   83| 18009.17185196   |                  |      
   84| 18018.70018952   |                  | True: [8]
   85| 18007.04155517   |                  | True: [3]
   86| 18011.18422582   |                  |      
   87| 18015.71794443   |                  |      
   88| 18006.81797755   |                  | True: [1]
   89| 18004.01970996   |                  |      
   90| 18011.83859047   |                  |      
   91| 18016.74119480   |                  |      
   92| 17999.36444194   |                  | True: [0, 6]
   93| 18014.21894079   |                  |      
   94| 18009.30296674   |                  | True: [6]
   95| 18001.77874594   |                  |      
   96| 18011.78251612   |                  |      
   97| 18020.18379032   |                  |      
   98| 18002.43002138   |                  |      
   99| 18008.34243567   |                  |      
  100| 18014.29108834   |                  |      
Fuzzy algorithm 100x:  463.005647 seconds.
Adjusted Rand Score: 0.290859536277192
Best iteration (from 100): 37
Last Adequacy:  17998.50206688727
